,start_sec,end_sec,note_freq_hz,note_name,midi_note,included_freqs
0,0.06965986394557823,0.09287981859410431,261.6255653005986,C4,60,"[266.19869962824436, 252.71363809934766]"
1,0.11609977324263039,0.3250793650793651,261.6255653005986,C4,60,"[252.71363809934766, 261.6255653005986, 264.6655079380657, 264.6655079380657, 263.1411467822288, 261.6255653005986, 258.62053938239393, 248.37216905734888, 249.81097439559304, 251.2581146483697]"
2,0.34829931972789113,0.5804988662131519,261.6255653005986,C4,60,"[282.02769802256034, 277.1826309768721, 270.8517709358815, 267.74077300753, 266.19869962824436, 266.19869962824436, 261.6255653005986, 258.62053938239393, 258.62053938239393, 257.13099468347406, 254.17759331190004]"
3,0.603718820861678,1.0216780045351475,261.6255653005986,C4,60,"[252.71363809934766, 255.6500291307247, 263.1411467822288, 263.1411467822288, 260.1187129259726, 258.62053938239393, 257.13099468347406, 257.13099468347406, 260.1187129259726, 261.6255653005986, 263.1411467822288, 263.1411467822288, 261.6255653005986, 258.62053938239393, 258.62053938239393, 258.62053938239393, 252.71363809934766, 248.37216905734888, 285.30470202322215]"
4,1.0681179138321995,1.5789569160997732,391.99543598174927,G4,67,"[359.461399713042, 357.39105439674364, 363.6381399878532, 369.9944227116344, 372.1377785978373, 378.64263238750516, 383.04224785029453, 389.7377084050387, 394.2662424412591, 396.5502035487653, 398.84739550836855, 401.1578949656154, 401.1578949656154, 396.5502035487653, 396.5502035487653, 398.84739550836855, 401.1578949656154, 401.1578949656154, 398.84739550836855, 398.84739550836855, 398.84739550836855, 394.2662424412591, 502.5162292967395]"
5,1.6021768707482993,1.6253968253968254,493.8833012561241,B4,71,"[502.5162292967395, 485.3986817520484]"
6,1.6486167800453515,2.066575963718821,391.99543598174927,G4,67,"[408.1700114541761, 405.81912517781325, 405.81912517781325, 403.4817790100553, 398.84739550836855, 396.5502035487653, 394.2662424412591, 394.2662424412591, 391.9954359817493, 389.7377084050387, 389.7377084050387, 389.7377084050387, 391.9954359817493, 394.2662424412591, 394.2662424412591, 394.2662424412591, 394.2662424412591, 389.7377084050387, 387.49298438230534]"
7,2.089795918367347,2.1130158730158732,493.8833012561241,B4,71,"[502.5162292967395, 502.5162292967395]"
8,2.182675736961451,2.5774149659863945,440.0,A4,69,"[447.69106452518196, 445.11255373284587, 442.5488940698555, 442.5488940698555, 442.5488940698555, 442.5488940698555, 442.5488940698555, 442.5488940698555, 445.11255373284587, 442.5488940698555, 439.99999999999994, 437.46578647972086, 437.46578647972086, 437.46578647972086, 439.99999999999994, 439.99999999999994, 437.46578647972086, 493.88330125612407]"
9,2.6006349206349206,2.693514739229025,493.8833012561241,B4,71,"[499.62194879118596, 496.74433811469765, 496.74433811469765, 439.99999999999994, 442.5488940698555]"
10,2.716734693877551,3.0650340136054424,440.0,A4,69,"[439.99999999999994, 437.46578647972086, 437.46578647972086, 439.99999999999994, 439.99999999999994, 439.99999999999994, 437.46578647972086, 434.9461689552743, 432.44106335991046, 432.44106335991046, 432.44106335991046, 437.46578647972086, 439.99999999999994, 437.46578647972086, 434.9461689552743, 432.44106335991046]"
11,3.0882539682539685,3.575873015873016,391.99543598174927,G4,67,"[502.5162292967395, 502.5162292967395, 496.74433811469765, 394.2662424412591, 391.9954359817493, 391.9954359817493, 391.9954359817493, 394.2662424412591, 394.2662424412591, 391.9954359817493, 387.49298438230534, 385.26118901858945, 385.26118901858945, 385.26118901858945, 387.49298438230534, 389.7377084050387, 391.9954359817493, 389.7377084050387, 389.7377084050387, 387.49298438230534, 385.26118901858945, 499.62194879118596]"
