,start_sec,end_sec,note_freq_hz,note_name,midi_note,included_freqs
0,0.2089795918367347,0.3250793650793651,246.94165062806206,B3,59,"[248.37216905734888, 246.94165062806206, 246.94165062806206, 248.37216905734888, 249.81097439559304, 255.6500291307247]"
1,0.34829931972789113,0.7198185941043084,261.6255653005986,C4,60,"[264.6655079380657, 267.74077300753, 264.6655079380657, 258.62053938239393, 254.17759331190004, 255.6500291307247, 257.13099468347406, 257.13099468347406, 255.6500291307247, 255.6500291307247, 255.6500291307247, 254.17759331190004, 252.71363809934766, 252.71363809934766, 252.71363809934766, 252.71363809934766, 248.37216905734888]"
2,0.7430385487528345,1.0448979591836736,261.6255653005986,C4,60,"[273.99891691894106, 266.19869962824436, 261.6255653005986, 258.62053938239393, 258.62053938239393, 257.13099468347406, 255.6500291307247, 255.6500291307247, 258.62053938239393, 258.62053938239393, 242.6993408760242, 249.81097439559304, 258.62053938239393, 283.6614678567074]"
3,1.0681179138321995,1.7414965986394557,293.6647679174076,D4,62,"[305.78200836531414, 304.0208335929107, 302.26980244077964, 300.528856485967, 295.3659506116579, 291.9733833144849, 290.2917403700367, 291.9733833144849, 293.6647679174075, 293.6647679174075, 293.6647679174075, 295.3659506116579, 293.6647679174075, 290.2917403700367, 286.9574553484241, 286.9574553484241, 285.30470202322215, 283.6614678567074, 283.6614678567074, 286.9574553484241, 288.6197829762387, 290.2917403700367, 290.2917403700367, 288.6197829762387, 288.6197829762387, 290.2917403700367, 291.9733833144849, 290.2917403700367, 288.6197829762387, 283.6614678567074]"
4,1.7647165532879818,1.787936507936508,293.6647679174076,D4,62,"[288.6197829762387, 288.6197829762387]"
5,1.9272562358276644,2.7399546485260773,261.6255653005986,C4,60,"[270.8517709358815, 267.74077300753, 263.1411467822288, 260.1187129259726, 260.1187129259726, 261.6255653005986, 261.6255653005986, 261.6255653005986, 261.6255653005986, 261.6255653005986, 264.6655079380657, 266.19869962824436, 266.19869962824436, 264.6655079380657, 263.1411467822288, 258.62053938239393, 258.62053938239393, 257.13099468347406, 258.62053938239393, 260.1187129259726, 260.1187129259726, 258.62053938239393, 257.13099468347406, 257.13099468347406, 257.13099468347406, 255.6500291307247, 255.6500291307247, 257.13099468347406, 258.62053938239393, 258.62053938239393, 258.62053938239393, 258.62053938239393, 258.62053938239393, 257.13099468347406, 254.17759331190004, 258.62053938239393]"
6,2.9024943310657596,4.806530612244898,415.3046975799451,G♯4,68,"[351.2512899969259, 347.21682482900223, 343.22869944588433, 337.3322358273121, 337.3322358273121, 339.28638158974695, 341.2518476034216, 343.22869944588433, 343.22869944588433, 343.22869944588433, 343.22869944588433, 341.2518476034216, 341.2518476034216, 343.22869944588433, 343.22869944588433, 343.22869944588433, 343.22869944588433, 341.2518476034216, 341.2518476034216, 343.22869944588433, 343.22869944588433, 343.22869944588433, 343.22869944588433, 343.22869944588433, 343.22869944588433, 343.22869944588433, 343.22869944588433, 343.22869944588433, 343.22869944588433, 345.2170030745703, 345.2170030745703, 345.2170030745703, 341.2518476034216, 337.3322358273121, 333.4576446322876, 331.5370699244067, 329.6275569128699, 327.72904188699454, 329.6275569128699, 331.5370699244067, 331.5370699244067, 327.72904188699454, 327.72904188699454, 327.72904188699454, 327.72904188699454, 327.72904188699454, 327.72904188699454, 327.72904188699454, 327.72904188699454, 327.72904188699454, 327.72904188699454, 329.6275569128699, 329.6275569128699, 329.6275569128699, 327.72904188699454, 327.72904188699454, 327.72904188699454, 327.72904188699454, 327.72904188699454, 325.8414615030442, 325.8414615030442, 325.8414615030442, 325.8414615030442, 327.72904188699454, 327.72904188699454, 327.72904188699454, 327.72904188699454, 327.72904188699454, 327.72904188699454, 327.72904188699454, 325.8414615030442, 323.96475278211557, 322.09885310803753, 1680.5212228823332, 1719.8015444442728, 1709.896216430346, 1670.8421328729137, 1680.5212228823332]"
7,4.829750566893424,4.992290249433107,1661.2187903197805,G♯6,92,"[1690.2563832897672, 1690.2563832897672, 1642.1380651047812, 1651.6508741412117, 1680.5212228823332, 1670.8421328729137, 1719.8015444442728, 1739.7846758210972]"
8,5.201269841269841,5.6656689342403626,261.6255653005986,C4,60,"[267.74077300753, 267.74077300753, 266.19869962824436, 263.1411467822288, 260.1187129259726, 257.13099468347406, 255.6500291307247, 257.13099468347406, 258.62053938239393, 258.62053938239393, 257.13099468347406, 255.6500291307247, 254.17759331190004, 255.6500291307247, 257.13099468347406, 258.62053938239393, 260.1187129259726, 254.17759331190004, 249.81097439559304, 255.6500291307247, 258.62053938239393]"
9,5.712108843537415,5.874648526077097,261.6255653005986,C4,60,"[264.6655079380657, 261.6255653005986, 258.62053938239393, 257.13099468347406, 257.13099468347406, 258.62053938239393, 258.62053938239393, 257.13099468347406]"
10,5.897868480725624,5.990748299319728,261.6255653005986,C4,60,"[249.81097439559304, 234.43211035826653, 254.17759331190004, 254.17759331190004, 297.0769881570017]"
11,6.013968253968254,6.733786848072563,293.6647679174076,D4,62,"[304.0208335929107, 304.0208335929107, 300.528856485967, 295.3659506116579, 291.9733833144849, 288.6197829762387, 286.9574553484241, 286.9574553484241, 285.30470202322215, 285.30470202322215, 288.6197829762387, 290.2917403700367, 290.2917403700367, 286.9574553484241, 286.9574553484241, 285.30470202322215, 283.6614678567074, 282.02769802256034, 283.6614678567074, 285.30470202322215, 286.9574553484241, 288.6197829762387, 290.2917403700367, 288.6197829762387, 286.9574553484241, 285.30470202322215, 283.6614678567074, 278.7883336231537, 277.1826309768721, 283.6614678567074, 283.6614678567074, 286.9574553484241]"
12,6.8034467120181406,7.569705215419501,261.6255653005986,C4,60,"[291.9733833144849, 266.19869962824436, 263.1411467822288, 257.13099468347406, 255.6500291307247, 255.6500291307247, 255.6500291307247, 257.13099468347406, 257.13099468347406, 258.62053938239393, 258.62053938239393, 257.13099468347406, 255.6500291307247, 255.6500291307247, 255.6500291307247, 255.6500291307247, 255.6500291307247, 257.13099468347406, 257.13099468347406, 257.13099468347406, 255.6500291307247, 255.6500291307247, 255.6500291307247, 254.17759331190004, 255.6500291307247, 257.13099468347406, 257.13099468347406, 258.62053938239393, 260.1187129259726, 261.6255653005986, 260.1187129259726, 258.62053938239393, 246.94165062806206, 246.94165062806206]"
13,7.778684807256236,8.591383219954649,391.99543598174927,G4,67,"[387.49298438230534, 387.49298438230534, 385.26118901858945, 383.04224785029453, 383.04224785029453, 383.04224785029453, 385.26118901858945, 389.7377084050387, 387.49298438230534, 385.26118901858945, 385.26118901858945, 385.26118901858945, 383.04224785029453, 385.26118901858945, 385.26118901858945, 385.26118901858945, 387.49298438230534, 387.49298438230534, 385.26118901858945, 383.04224785029453, 383.04224785029453, 385.26118901858945, 387.49298438230534, 387.49298438230534, 389.7377084050387, 387.49298438230534, 387.49298438230534, 385.26118901858945, 385.26118901858945, 385.26118901858945, 387.49298438230534, 389.7377084050387, 389.7377084050387, 387.49298438230534, 383.04224785029453, 374.29355081837645]"
14,8.614603174603175,9.543401360544218,349.2282314330039,F4,65,"[359.461399713042, 351.2512899969259, 345.2170030745703, 339.28638158974695, 339.28638158974695, 341.2518476034216, 343.22869944588433, 341.2518476034216, 343.22869944588433, 343.22869944588433, 345.2170030745703, 343.22869944588433, 343.22869944588433, 343.22869944588433, 341.2518476034216, 341.2518476034216, 341.2518476034216, 343.22869944588433, 343.22869944588433, 345.2170030745703, 343.22869944588433, 343.22869944588433, 345.2170030745703, 343.22869944588433, 343.22869944588433, 343.22869944588433, 343.22869944588433, 343.22869944588433, 345.2170030745703, 343.22869944588433, 343.22869944588433, 341.2518476034216, 339.28638158974695, 341.2518476034216, 345.2170030745703, 349.2282314330038, 351.2512899969259, 349.2282314330038, 345.2170030745703, 339.28638158974695, 339.28638158974695]"
